customer_id,name,age
1,Johannes Gates,42
2,Mateo Gates,27
3,Olivia Nguyen,59
4,Marshall Schmidt,8
5,Benjamin Nguyen,26
6,Fatima Smith,12
7,Ethan Nguyen,45
8,Yuan Banks,16
9,Benjamin Chen,38
10,Yuan Patel,46
11,Sophia Chen,12
12,Wei Banks,50
13,Bill Garcia,60
14,Yuan Banks,45
15,Emma Smith,44
16,Olivia Lee,29
17,Wei Garcia,19
18,Jing Takahashi,42
19,Xia Takahashi,37
20,Omar Nguyen,28
21,Audrey Smith,22
22,Yuan Takahashi,54
23,Benjamin Gates,51
24,Bill Gates,54
25,Ava Schmidt,59
26,Zhang Schmidt,42
27,Ava Nguyen,21
28,Wei Smith,17
29,Amara Nguyen,34
30,Hao Takahashi,5
31,James Lee,30
32,Jing Garcia,40
33,Marshall Smith,42
34,Liam Smith,21
35,Omar Brown,9
36,Fatima Garcia,29
37,Emma Brown,26
38,Emma Gates,50
39,Johannes Gates,40
40,Li Brown,40
41,James Skleegore,47
42,Ethan Gates,17
43,Olivia Smith,58
44,Sophia Chen,29
45,Audrey Lee,33
46,Michael Patel,28
47,James Smith,56
48,Mei Brown,39
49,Isabella Nguyen,15
50,Julia Chen,20
51,Johannes Nguyen,11
52,Benjamin Chen,20
53,Xiao Takahashi,51
54,Emma Chen,54
55,Ethan Patel,45
56,Ava Gates,52
57,James Aeterna,12
58,Hao Skleegore,21
59,Hao Patel,21
60,Ava Skleegore,18
61,Marshall Takahashi,22
62,William Patel,8
63,Charlotte Schmidt,42
64,Zhang Lee,48
65,Mateo Gates,32
66,Charlotte Johnson,14
67,William Smith,19
68,Hao Skleegore,51
69,Olivia Takahashi,5
70,Benjamin Skleegore,32
71,Mateo Takahashi,28
72,Julia Gates,53
73,Xia Garcia,5
74,James Patel,41
75,Xiao Nguyen,35
76,Sophia Lee,42
77,Ava Brown,42
78,Ivan Aeterna,37
79,Michael Gates,58
80,James Skleegore,32
81,Benjamin Chen,39
82,Michael Nguyen,22
83,Jing Patel,17
84,Isabella Gates,50
85,Xia Gates,28
86,Ethan Banks,14
87,Wen Chen,11
88,Fatima Nguyen,29
89,Jing Patel,26
90,Bill Skleegore,28
